"","...1","id","satellite","satellite_nssdc_id","satellite_operating_agency","sensor","orbit","start_dt","stop_dt","filename","process_dt","process_algorithm","process_algorithm_version","load_dt","temp_kelvin","power","confidence","datetime","age_hours","australian_state","lon","lat","date","obsTime","year"
"1",4187,35345689,"SUOMI NPP","2011-061A","NASA/NOAA","VIIRS",46432,"2020/10/13 03:49:07+00","2020/10/13 04:01:55+00","Npp20201013T034907Z20201013T040155Zhotspots.txt",NA,"AFMOD","6",NA,374.02,136.3,100,"2020/10/13 03:54:49+00",17734,"VIC",143.2633,-36.0563,2020-10-13,2020-10-13 03:54:49,"2020-2021"
"2",4188,35347792,"SUOMI NPP","2011-061A","NASA/NOAA","VIIRS",46432,"2020/10/13 03:49:07+00","2020/10/13 04:09:02+00","Npp20201013T034907Z20201013T040902Zhotspots.txt",NA,"AFMOD","6",NA,374.02,136.3,100,"2020/10/13 03:54:49+00",17734,"VIC",143.2633,-36.0563,2020-10-13,2020-10-13 03:54:49,"2020-2021"
"3",4189,35606396,"TERRA","1999-068A","NASA","MODIS",-1,"2020/10/26 00:29:27+00","2020/10/26 00:42:45+00","Terra20201026T002927Z20201026T004245Zhotspots.txt",NA,"MOD14","6.2.1",NA,380.3,152.9,100,"2020/10/26 00:39:16+00",17323,"VIC",141.808,-37.468,2020-10-26,2020-10-26 00:39:16,"2020-2021"
"4",4190,35606434,"TERRA","1999-068A","NASA","MODIS",-1,"2020/10/26 00:29:27+00","2020/10/26 00:45:13+00","Terra20201026T002927Z20201026T004513Zhotspots.txt",NA,"MOD14","6.2.1",NA,380.3,152.9,100,"2020/10/26 00:39:16+00",17323,"VIC",141.808,-37.468,2020-10-26,2020-10-26 00:39:16,"2020-2021"
"5",4191,35606470,"TERRA","1999-068A","NASA","MODIS",NA,"2020/10/26 00:29:27+00","2020/10/26 00:42:45+00","Terra20201026T002927Z20201026T004245Zhotspots.txt",NA,"Landgate MODIS daytime","6.2.1",NA,378.81,160.7,50,"2020/10/26 00:29:27+00",17323,"VIC",141.81,-37.47,2020-10-26,2020-10-26 00:29:27,"2020-2021"
"6",4192,35606537,"TERRA","1999-068A","NASA","MODIS",-1,"2020/10/26 00:27:47+00","2020/10/26 00:45:13+00","Terra20201026T002747Z20201026T004513Zhotspots.txt",NA,"MOD14","6.2.1",NA,380.3,152.9,100,"2020/10/26 00:39:17+00",17323,"VIC",141.808,-37.468,2020-10-26,2020-10-26 00:39:17,"2020-2021"
"7",4193,35606573,"TERRA","1999-068A","NASA","MODIS",NA,"2020/10/26 00:29:27+00","2020/10/26 00:45:13+00","Terra20201026T002927Z20201026T004513Zhotspots.txt",NA,"Landgate MODIS daytime","6.2.1",NA,378.81,160.7,50,"2020/10/26 00:29:27+00",17323,"VIC",141.81,-37.47,2020-10-26,2020-10-26 00:29:27,"2020-2021"
"8",4194,35606637,"TERRA","1999-068A","NASA","MODIS",NA,"2020/10/26 00:27:47+00","2020/10/26 00:45:13+00","Terra20201026T002747Z20201026T004513Zhotspots.txt",NA,"Landgate MODIS daytime","6.2.1",NA,378.81,160.7,50,"2020/10/26 00:27:47+00",17323,"VIC",141.81,-37.47,2020-10-26,2020-10-26 00:27:47,"2020-2021"
"9",4195,35610093,"NOAA 20","2017-073A","NOAA","VIIRS",15220,"2020/10/26 03:53:30+00","2020/10/26 04:07:43+00","J0120201026T035330Z20201026T040743Zhotspots.txt",NA,"AFIMG","6",NA,330.54,157.5,8,"2020/10/26 04:00:37+00",17320,"VIC",141.8032,-37.4721,2020-10-26,2020-10-26 04:00:37,"2020-2021"
"10",4196,35610094,"NOAA 20","2017-073A","NOAA","VIIRS",15220,"2020/10/26 03:53:30+00","2020/10/26 04:07:43+00","J0120201026T035330Z20201026T040743Zhotspots.txt",NA,"AFIMG","6",NA,305.03,191,7,"2020/10/26 04:00:37+00",17320,"VIC",141.7904,-37.4734,2020-10-26,2020-10-26 04:00:37,"2020-2021"
